Latitude,Longitude,Orbit,SdgID
-34.643986,150.14929,12988,2016121003580201
-34.65085,150.13936,12988,2016121003580202
-34.657646,150.12927,12988,2016121003580203
-34.66439,150.11908,12988,2016121003580204
-34.670986,150.10887,12988,2016121003580205
-34.67754,150.09856,12988,2016121003580206
-34.683933,150.08806,12988,2016121003580207
-34.690235,150.07745,12988,2016121003580208
-34.623966,150.14351,12988,2016121003580231
-34.630836,150.13359,12988,2016121003580232
-34.637646,150.12352,12988,2016121003580233
-34.644394,150.11334,12988,2016121003580234
-34.651,150.10313,12988,2016121003580235
-34.65756,150.09283,12988,2016121003580236
-34.663967,150.08235,12988,2016121003580237
-34.670277,150.07176,12988,2016121003580238
-34.603992,150.13777,12988,2016121003580271
-34.610867,150.12787,12988,2016121003580272
-34.61768,150.1178,12988,2016121003580273
-34.624435,150.10764,12988,2016121003580274
-34.631042,150.09744,12988,2016121003580275
-34.637608,150.08714,12988,2016121003580276
-34.644016,150.07668,12988,2016121003580277
-34.650333,150.06609,12988,2016121003580278
-34.584023,150.13205,12988,2016121003580301
-34.5909,150.12216,12988,2016121003580302
-34.597713,150.11209,12988,2016121003580303
-34.604473,150.10193,12988,2016121003580304
-34.611088,150.09175,12988,2016121003580305
-34.617657,150.08145,12988,2016121003580306
-34.62407,150.071,12988,2016121003580307
-34.630386,150.06041,12988,2016121003580308
-34.56405,150.12633,12988,2016121003580331
-34.570927,150.11646,12988,2016121003580332
-34.577747,150.10641,12988,2016121003580333
-34.584507,150.09627,12988,2016121003580334
-34.59112,150.08609,12988,2016121003580335
-34.597694,150.07582,12988,2016121003580336
-34.60411,150.06537,12988,2016121003580337
-34.61043,150.0548,12988,2016121003580338
-34.544056,150.1207,12988,2016121003580371
-34.55094,150.11082,12988,2016121003580372
-34.557762,150.1008,12988,2016121003580373
-34.56453,150.09065,12988,2016121003580374
-34.571148,150.08049,12988,2016121003580375
-34.577724,150.07022,12988,2016121003580376
-34.584145,150.05978,12988,2016121003580377
-34.59047,150.04922,12988,2016121003580378
-34.524063,150.11508,12988,2016121003580401
-34.530952,150.10521,12988,2016121003580402
-34.53778,150.09518,12988,2016121003580403
-34.54455,150.08505,12988,2016121003580404
-34.551174,150.07489,12988,2016121003580405
-34.55775,150.06464,12988,2016121003580406
-34.56418,150.0542,12988,2016121003580407
-34.570507,150.04366,12988,2016121003580408
-34.50407,150.10945,12988,2016121003580431
-34.510963,150.09958,12988,2016121003580432
-34.51779,150.08955,12988,2016121003580433
-34.524567,150.07942,12988,2016121003580434
-34.531193,150.06927,12988,2016121003580435
-34.537773,150.05902,12988,2016121003580436
-34.5442,150.04858,12988,2016121003580437
-34.550537,150.03802,12988,2016121003580438
